tx_price,beds,baths,sqft,year_built,lot_size,basement,median_age,married,college_grad,property_tax,insurance,median_school,num_schools,tx_year,lifestyle_avg,two_and_two,exterior_walls_Brick,exterior_walls_Brick veneer,exterior_walls_Combination,exterior_walls_Metal,exterior_walls_Other,exterior_walls_Siding (Alum/Vinyl),exterior_walls_Wood,exterior_walls_missing,roof_Asphalt,roof_Composition Shingle,roof_Other,roof_Shake Shingle,roof_missing,property_type_Apartment / Condo / Townhouse,property_type_Single-Family
318000.0,1.0,1.0,926.0,1973.0,0.0,0.0,34.0,32.0,49.0,230.0,79.0,7.0,3.0,2008.0,1.6429840294982365,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0
408400.0,1.0,1.0,933.0,2005.0,0.0,1.0,31.0,30.0,99.0,310.0,94.0,8.0,3.0,2005.0,0.8041318254856782,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1
325000.0,1.0,1.0,934.0,1993.0,0.0,1.0,52.0,42.0,63.0,180.0,54.0,7.0,3.0,2005.0,1.4170492153888319,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0
239000.0,1.0,1.0,945.0,1984.0,0.0,1.0,48.0,40.0,59.0,184.0,56.0,7.0,1.0,2007.0,-0.28848418183347446,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0
367500.0,1.0,1.0,950.0,1986.0,0.0,0.0,45.0,32.0,79.0,345.0,119.0,6.0,3.0,2006.0,2.264311890275413,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0
378000.0,1.0,1.0,961.0,2006.0,0.0,0.0,33.0,35.0,72.0,280.0,97.0,6.0,3.0,2013.0,0.7278154949821947,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0
269000.0,1.0,1.0,966.0,1996.0,0.0,1.0,52.0,42.0,63.0,241.0,73.0,7.0,3.0,2006.0,1.3608337385366178,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0
245000.0,1.0,1.0,999.0,1979.0,0.0,1.0,59.0,54.0,57.0,163.0,49.0,3.0,3.0,2007.0,1.235659475723284,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0
225000.0,1.0,1.0,1005.0,1982.0,0.0,1.0,56.0,24.0,66.0,184.0,56.0,5.0,3.0,2014.0,0.43767191510916026,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0
302000.0,1.0,1.0,1014.0,1985.0,0.0,1.0,33.0,48.0,85.0,284.0,86.0,4.0,3.0,2011.0,0.564154402179346,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0
387900.0,1.0,1.0,1050.0,2005.0,0.0,1.0,31.0,30.0,99.0,310.0,94.0,8.0,3.0,2005.0,0.8041318254856782,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0
560000.0,1.0,1.0,1092.0,1984.0,0.0,0.0,46.0,37.0,90.0,489.0,169.0,6.0,3.0,2007.0,2.311239957618207,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0
750000.0,1.0,1.0,1322.0,2009.0,0.0,0.0,28.0,52.0,72.0,666.0,231.0,8.0,3.0,2012.0,4.679545520091685,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0
299700.0,1.0,2.0,814.0,2008.0,96703.0,0.0,45.0,60.0,71.0,321.0,93.0,9.0,3.0,2012.0,0.865669847134269,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0
779900.0,1.0,2.0,1207.0,2012.0,0.0,0.0,36.0,25.0,75.0,612.0,212.0,8.0,3.0,2014.0,2.246541164603762,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0
379000.0,1.0,2.0,1489.0,1940.0,0.0,0.0,39.0,41.0,83.0,258.0,89.0,6.0,3.0,2007.0,0.26414478676141384,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0
225000.0,2.0,1.0,768.0,1950.0,0.0,1.0,35.0,29.0,73.0,192.0,58.0,4.0,3.0,2006.0,-0.5212192422562597,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0
